"window_id","time_sec","seconds_in_image_window","x","y","velocity","fixation_candidate","x_plot","y_plot"
1,96,0,0.484664553347839,0.00566287899573456,NA,FALSE,0.62116613833696,0.498584280251066
1,96.01,0.0100000000000051,0.508189016664923,-0.00538889241899021,NA,FALSE,0.627047254166231,0.501347223104748
1,96.02,0.019999999999996,0.584889950570243,-0.0122053697160679,NA,FALSE,0.646222487642561,0.503051342429017
1,96.03,0.0300000000000011,0.603002649181445,-0.00561008230726312,NA,FALSE,0.650750662295361,0.501402520576816
1,96.04,0.0400000000000063,0.606997700733823,-0.00513244195728184,NA,FALSE,0.651749425183456,0.50128311048932
1,96.05,0.0499999999999972,0.61993392875679,-0.00324303690141825,NA,FALSE,0.654983482189197,0.500810759225355
1,96.06,0.0600000000000023,0.606046627367991,-0.0201771612573195,0.801779970699932,TRUE,0.651511656841998,0.50504429031433
1,96.07,0.0699999999999932,0.563453443626251,0.00430047909266165,0.756902041750185,TRUE,0.640863360906563,0.498924880226835
1,96.08,0.0799999999999983,0.530507318708041,0.00336635473676043,0.572209857020425,TRUE,0.63262682967701,0.49915841131581
1,96.09,0.0900000000000034,0.550267076142772,7.9289204388642e-05,0.4881487674814,TRUE,0.637566769035693,0.499980177698903
1,96.1,0.0999999999999943,0.539438598283385,0.017733400142605,0.518115261601644,TRUE,0.634859649570846,0.495566649964349
1,96.11,0.109999999999999,0.57096306160047,0.0238580993161156,0.490405906499425,TRUE,0.642740765400117,0.494035475170971
1,96.12,0.120000000000005,0.58836987785873,0.0170416220190377,0.446850678803505,TRUE,0.647092469464683,0.495739594495241
1,96.13,0.129999999999995,0.587188458822873,0.0506957329572542,0.667205559248777,TRUE,0.646797114705718,0.487326066760686
1,96.14,0.140000000000001,0.59612468684584,0.0476439615425294,1.13838539044032,TRUE,0.64903117171146,0.488089009614368
1,96.15,0.150000000000006,0.596825620751159,0.0509451313042753,1.20255052080471,TRUE,0.64920640518779,0.487263717173931
1,96.16,0.159999999999997,0.590938319362361,0.0422463010660213,0.918560604031174,TRUE,0.64773457984059,0.489438424733495
1,96.17,0.170000000000002,0.592109841502975,0.0269592355336496,0.744699502808469,TRUE,0.648027460375744,0.493260191116588
1,96.18,0.180000000000007,0.636810775408294,0.00202511117774851,0.648480481294612,TRUE,0.659202693852074,0.499493722205563
1,96.19,0.189999999999998,0.653747003431261,0.0255615750571415,0.280564610491404,TRUE,0.663436750857815,0.493609606235715
1,96.2,0.200000000000003,0.676330290277756,0.0401568624659463,0.34104343897566,TRUE,0.669082572569439,0.489960784383513
1,96.21,0.209999999999994,0.632090047712488,0.0580462675218097,0.629164908752462,TRUE,0.658022511928122,0.485488433119548
1,96.22,0.219999999999999,0.649261569853101,0.0479356725776732,0.429648412691052,TRUE,0.662315392463275,0.488016081855582
1,96.23,0.230000000000004,0.641491915523126,0.0646486070453012,0.726014986567677,TRUE,0.660372978880782,0.483837848238675
1,96.24,0.239999999999995,0.617016378840211,0.0427733062188118,0.695657338889532,TRUE,0.654254094710053,0.489306673445297
1,96.25,0.25,0.617952606863177,0.0171332995099693,0.587127555116605,TRUE,0.654488151715794,0.495716675122508
1,96.26,0.260000000000005,0.657477070180261,0.0176109398599506,0.562164837772085,TRUE,0.664369267545065,0.495597265035012
1,96.27,0.269999999999996,0.635119180556168,0.05902975668052,0.440035358744556,TRUE,0.658779795139042,0.48524256082987
1,96.28,0.280000000000001,0.664055408579135,0.0616250440893246,0.862079565803335,TRUE,0.666013852144784,0.484593738977669
1,96.29,0.290000000000006,0.667815166013866,0.0719850373804821,0.779797531427134,TRUE,0.666953791503466,0.48200374065488
1,96.3,0.299999999999997,0.672751394036832,0.0872862071422281,1.05962283297913,TRUE,0.668187848509208,0.478178448214443
1,96.31,0.310000000000002,0.66074644558921,0.0999991416098563,1.21779893250855,TRUE,0.665186611397303,0.475000214597536
1,96.32,0.319999999999993,0.643094438318059,0.105182664312779,1.76882331625794,TRUE,0.660773609579515,0.473704333921805
1,96.33,0.329999999999998,0.577677725164555,0.110130892898054,1.21211902978984,TRUE,0.644419431291139,0.472467276775486
1,96.34,0.340000000000003,0.570613953187521,0.112961474424506,1.43393200895042,TRUE,0.64265348829688,0.471759631393874
1,96.35,0.349999999999994,0.534844298857546,0.125439114774487,1.7146315674643,TRUE,0.633711074714387,0.468640221306378
1,96.36,0.359999999999999,0.539780526880513,0.125916755124468,1.78494026874815,TRUE,0.634945131720128,0.468520811218883
1,96.37,0.370000000000005,0.504010872550538,0.137217924886214,1.5116265905516,TRUE,0.626002718137635,0.465695518778447
1,96.38,0.379999999999995,0.521182394691151,0.128283800530313,1.39333830496494,TRUE,0.630295598672788,0.467929049867422
1,96.39,0.390000000000001,0.52188332859647,0.129937911468529,0.941419837871153,TRUE,0.630470832149118,0.467515522132868
1,96.4,0.400000000000006,0.485878380148849,0.121709669465569,0.545627852978545,TRUE,0.621469595037212,0.469572582633608
1,96.41,0.409999999999997,0.477167549348286,0.104540250992021,0.448582327460122,TRUE,0.619291887337071,0.473864937251995
1,96.42,0.420000000000002,0.494574365606547,0.10595906781259,0.320126123147693,TRUE,0.623643591401637,0.473510233046852
1,96.43,0.430000000000007,0.491275299511866,0.126201414044924,0.174218879240529,TRUE,0.622818824877966,0.468449646488769
1,96.44,0.439999999999998,0.475035056946597,0.123855524983141,0.780624401117448,TRUE,0.618758764236649,0.469036118754215
1,96.45,0.450000000000003,0.521618343793093,0.147627282980181,0.794377815671848,TRUE,0.630404585948273,0.463093179254955
